Designator,Mid X,Mid Y,Rotation,Layer
S20,246.283443,-82.329777,15.0,top
S21,263.988986,-74.997401,15.0,top
S22,282.988625,-72.494654,15.0,top
S23,302.530514,-72.305392,15.0,top
S24,320.931401,-67.374889,15.0,top
S25,80.56995,-85.775774,345.0,top
S26,98.970837,-90.706277,345.0,top
S27,118.512726,-90.895541,345.0,top
S28,137.512365,-93.398288,345.0,top
S29,155.217908,-100.730664,345.0,top
S3,128.373732,-54.093767,345.0,top
S30,172.923451,-108.063041,345.0,top
S31,233.508403,-108.063041,15.0,top
S32,251.213946,-100.730664,15.0,top
S33,268.919489,-93.398288,15.0,top
S34,287.919128,-90.895541,15.0,top
S35,307.461017,-90.706279,15.0,top
S36,325.861904,-85.775776,15.0,top
S37,75.639447,-104.176661,345.0,top
S38,94.040334,-109.107164,345.0,top
S39,113.582223,-109.296428,345.0,top
S4,147.373371,-56.596514,345.0,top
S40,132.581862,-111.799175,345.0,top
S41,150.287405,-119.131551,345.0,top
S42,167.992948,-126.463928,345.0,top
S43,238.438906,-126.463928,15.0,top
S44,256.144449,-119.131551,15.0,top
S45,273.849992,-111.799175,15.0,top
S46,292.849631,-109.296428,15.0,top
S47,312.39152,-109.107166,15.0,top
S48,330.792407,-104.176663,15.0,top
S49,70.708944,-122.577548,345.0,top
S5,165.078914,-63.92889,345.0,top
S50,89.109831,-127.508051,345.0,top
S51,108.65172,-127.697315,345.0,top
S52,127.651359,-130.200062,345.0,top
S53,145.356902,-137.532438,345.0,top
S54,163.062445,-144.864815,345.0,top
S55,243.369409,-144.864815,15.0,top
S56,261.074952,-137.532438,15.0,top
S57,278.780495,-130.200062,15.0,top
S58,297.780134,-127.697315,15.0,top
S59,317.322023,-127.508053,15.0,top
S6,182.784457,-71.261267,345.0,top
S60,335.72291,-122.57755,15.0,top
S61,183.161587,-159.737759,330.0,top
S62,223.270265,-159.737759,30.0,top
S63,157.207105,-166.692241,330.0,top
S64,173.636587,-176.235543,330.0,top
S65,190.116071,-185.692241,330.0,top
S66,216.315783,-185.692241,30.0,top
S67,232.795265,-176.235543,30.0,top
S68,249.224749,-166.692241,30.0,top
S7,223.647397,-71.261267,15.0,top
S8,241.35294,-63.92889,15.0,top
S9,259.058483,-56.596514,15.0,top
U1,203.215927,-125.013857,270.0,top
U2,203.205927,-95.003857,180.0,top
Y1,218.3525,-124.32,0.0,top
